OBJECTID,DATE,Allegany,Anne Arundel,Baltimore County,Baltimore City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Annes,Somerset,St Marys,Talbot,Washington,Wicomico,Worcester
180,2020/09/29 14:00:00+00,23,236,607,468,27,7,123,34,99,10,125,1,72,116,22,808,805,25,5,57,6,38,48,26
181,2020/09/30 14:00:00+00,23,238,609,469,27,7,123,34,99,10,125,1,72,116,22,809,805,25,5,57,6,39,48,26
182,2020/10/01 14:00:00+00,23,239,609,469,27,7,123,34,99,10,125,1,72,116,22,810,805,25,5,57,6,39,49,27
183,2020/10/02 14:00:00+00,23,240,609,469,27,7,123,34,99,10,125,1,72,116,22,811,804,25,5,57,6,39,49,28
184,2020/10/03 14:00:00+00,23,240,609,469,27,7,123,34,99,10,125,1,72,117,22,809,805,25,4,57,6,39,49,29
185,2020/10/04 14:00:00+00,23,240,611,469,27,7,123,34,99,10,125,1,72,117,22,809,807,25,4,58,6,39,49,29
186,2020/10/05 14:00:00+00,23,240,611,469,27,7,123,34,99,10,125,1,72,117,22,810,807,25,4,58,6,40,49,29
187,2020/10/06 14:00:00+00,23,240,614,469,27,7,123,34,99,10,125,1,72,117,22,810,808,25,4,58,6,41,49,29
188,2020/10/07 14:00:00+00,23,242,616,471,27,7,123,34,99,10,126,1,72,116,22,811,808,25,4,58,6,41,49,29
189,2020/10/08 14:00:00+00,23,242,617,472,27,7,123,35,99,10,126,1,72,117,22,812,810,25,4,58,6,41,49,29
190,2020/10/09 14:00:00+00,23,243,619,474,27,7,123,35,99,10,126,1,72,117,22,814,810,25,4,58,6,41,49,29
191,2020/10/10 14:00:00+00,23,243,619,474,27,7,123,35,99,10,126,1,72,117,22,815,810,25,4,58,6,41,49,29
192,2020/10/11 14:00:00+00,23,244,622,476,27,8,123,35,99,10,127,1,73,117,22,815,813,25,4,58,6,41,49,29
193,2020/10/12 14:00:00+00,23,245,622,476,27,8,123,35,99,10,127,1,73,117,22,815,814,25,4,59,6,41,49,29
194,2020/10/13 14:00:00+00,23,246,624,477,27,8,123,35,99,10,127,1,73,117,22,816,816,25,4,59,6,41,49,29
195,2020/10/14 14:00:00+00,23,248,624,478,27,8,124,35,99,10,127,1,73,117,22,819,816,25,4,59,6,41,49,29
196,2020/10/15 14:00:00+00,23,250,626,477,27,8,125,35,99,10,129,1,73,117,22,820,817,25,5,59,6,42,49,29
197,2020/10/16 14:00:00+00,23,250,627,478,27,8,125,35,99,10,129,1,73,117,22,820,817,25,5,59,6,42,49,29
198,2020/10/17 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,73,117,22,820,819,25,5,59,6,42,49,29
199,2020/10/18 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,74,117,22,820,821,25,5,59,6,42,49,29
200,2020/10/19 14:00:00+00,23,251,630,479,27,8,125,35,99,10,129,1,74,118,22,820,822,25,5,59,6,42,49,29
201,2020/10/20 14:00:00+00,23,252,631,479,27,8,125,35,99,10,129,1,75,118,22,821,822,25,5,59,6,42,49,29
202,2020/10/21 14:00:00+00,23,253,633,480,27,8,125,35,99,10,130,1,76,118,22,822,824,25,5,59,6,42,49,29
203,2020/10/22 14:00:00+00,23,254,635,481,27,8,126,35,99,10,130,1,76,118,22,823,828,25,6,59,6,42,49,29
204,2020/10/23 14:00:00+00,23,255,638,482,27,8,126,35,99,10,129,1,76,118,22,823,829,25,6,60,6,42,49,29
205,2020/10/24 14:00:00+00,23,256,639,484,27,8,126,35,100,10,130,1,77,118,22,824,829,25,6,60,6,42,50,29
206,2020/10/25 14:00:00+00,23,258,642,484,27,8,126,35,100,10,130,1,77,120,23,827,829,25,6,60,6,43,50,30
207,2020/10/26 14:00:00+00,23,260,642,484,27,8,126,35,100,10,130,1,77,120,23,827,830,25,6,60,6,43,50,30
208,2020/10/27 14:00:00+00,24,260,642,484,27,8,126,35,100,10,131,1,77,120,23,829,830,25,6,60,6,44,51,30
209,2020/10/28 14:00:00+00,24,261,643,485,27,8,126,35,100,10,131,1,77,120,23,830,835,25,6,60,6,44,51,30
210,2020/10/29 14:00:00+00,24,262,646,485,28,8,126,35,100,11,131,1,77,121,23,832,835,25,6,60,6,44,51,30
211,2020/10/30 14:00:00+00,24,263,649,486,28,8,126,35,100,12,131,1,78,121,23,832,835,25,6,60,6,46,51,30
212,2020/10/31 14:00:00+00,24,266,650,486,28,8,126,35,100,12,131,1,78,121,23,833,839,25,6,60,6,46,51,30
213,2020/11/01 15:00:00+00,24,269,651,488,28,8,127,35,100,12,131,1,78,123,23,833,839,25,6,60,6,47,51,30
214,2020/11/02 15:00:00+00,24,270,652,488,28,8,127,35,100,12,131,1,78,122,23,834,839,25,6,60,6,47,51,30
215,2020/11/03 15:00:00+00,24,270,653,490,28,8,127,35,100,12,132,1,78,122,23,835,839,25,6,60,6,47,52,30
216,2020/11/04 15:00:00+00,24,271,655,490,28,8,127,35,100,12,132,1,78,123,23,837,840,25,6,61,6,48,52,30
217,2020/11/05 15:00:00+00,25,271,658,491,28,8,127,35,100,12,132,1,78,123,24,841,841,25,6,61,6,47,52,30
218,2020/11/06 15:00:00+00,26,271,658,493,28,8,127,35,100,12,132,1,78,123,24,845,845,25,6,60,6,47,52,30
219,2020/11/07 15:00:00+00,26,271,660,497,28,8,127,35,100,12,132,1,79,122,24,847,845,25,7,60,6,47,52,30
220,2020/11/08 15:00:00+00,26,271,660,497,28,9,127,35,100,13,132,1,80,123,24,848,846,25,7,60,6,47,52,30
221,2020/11/09 15:00:00+00,26,271,662,499,28,9,127,35,100,13,132,1,80,123,24,851,847,25,7,60,6,47,52,30
222,2020/11/10 15:00:00+00,28,271,664,499,28,9,127,35,100,13,132,1,80,123,24,855,849,25,7,60,6,47,52,30
223,2020/11/11 15:00:00+00,29,272,664,500,28,9,127,36,100,13,132,1,80,124,24,858,852,25,7,60,6,49,54,30
224,2020/11/12 15:00:00+00,29,274,666,501,28,9,127,36,102,13,132,1,81,125,24,860,854,25,8,60,7,49,54,30
225,2020/11/13 15:00:00+00,29,275,667,503,29,9,127,36,102,13,132,1,81,125,24,862,856,26,8,60,7,49,54,30
226,2020/11/14 15:00:00+00,31,276,668,504,29,9,128,36,102,13,132,1,81,125,24,864,859,26,8,60,7,51,54,31
227,2020/11/15 15:00:00+00,32,276,668,508,29,9,128,36,102,14,133,1,82,126,24,868,865,26,8,60,7,52,55,31
228,2020/11/16 15:00:00+00,33,276,668,509,29,9,128,36,102,14,133,1,82,126,24,871,866,26,8,60,7,53,55,31
229,2020/11/17 15:00:00+00,35,276,671,512,29,9,128,36,102,14,133,1,83,126,24,874,870,26,8,60,7,54,55,31
230,2020/11/18 15:00:00+00,39,276,674,513,30,9,129,36,102,14,134,1,84,126,24,875,875,26,8,60,7,55,55,32
231,2020/11/19 15:00:00+00,44,276,676,513,30,9,130,36,102,14,135,2,84,127,24,878,878,26,8,60,7,56,55,32
232,2020/11/20 15:00:00+00,46,279,677,513,30,9,131,36,102,15,135,3,84,128,24,881,878,26,8,60,7,57,55,34
233,2020/11/21 15:00:00+00,48,282,679,518,30,9,131,37,102,15,137,3,84,128,24,887,882,26,8,61,7,58,55,34
234,2020/11/22 15:00:00+00,52,282,679,520,30,9,131,37,102,15,137,3,85,128,24,889,882,26,8,61,7,59,55,34
235,2020/11/23 15:00:00+00,55,284,682,523,31,9,131,37,102,15,138,4,85,129,24,890,882,26,8,61,7,60,56,35
236,2020/11/24 15:00:00+00,59,284,686,525,32,10,131,37,102,15,138,4,89,130,24,893,884,26,8,61,7,61,57,35
237,2020/11/25 15:00:00+00,60,285,692,528,32,10,131,37,103,15,138,4,91,131,23,894,888,26,8,61,7,63,58,35
238,2020/11/26 15:00:00+00,64,286,697,534,35,10,132,39,103,15,138,4,91,133,23,897,896,26,8,61,7,69,59,35
239,2020/11/27 15:00:00+00,64,286,701,538,35,10,132,39,103,15,138,4,91,133,23,902,898,26,8,61,7,69,59,36
240,2020/11/28 15:00:00+00,69,286,706,542,36,10,132,40,103,15,140,4,92,137,23,905,900,26,9,61,7,69,59,35
241,2020/11/29 15:00:00+00,71,286,707,545,36,10,133,40,103,15,142,5,94,139,23,909,902,26,9,61,7,70,59,35
242,2020/11/30 15:00:00+00,72,286,710,547,36,10,133,40,103,15,142,5,94,140,23,912,906,26,9,62,7,71,59,37
243,2020/12/01 15:00:00+00,74,285,715,548,36,10,135,40,102,15,142,6,99,142,23,918,911,26,9,62,7,73,59,37
244,2020/12/02 15:00:00+00,80,285,718,557,37,10,135,45,102,16,142,8,100,143,23,924,913,26,9,62,7,77,59,38
245,2020/12/03 15:00:00+00,84,288,730,561,38,10,139,47,103,17,144,8,102,144,23,928,917,26,9,64,7,79,59,38
246,2020/12/04 15:00:00+00,87,288,737,570,38,10,139,48,103,17,144,8,104,147,23,933,923,26,9,65,7,81,60,38
247,2020/12/05 15:00:00+00,87,291,738,571,38,10,139,49,103,17,146,9,105,147,23,935,924,26,9,66,7,82,60,38
248,2020/12/06 15:00:00+00,87,291,746,574,38,10,139,50,103,17,146,9,107,149,23,938,928,26,9,66,7,82,60,38
249,2020/12/07 15:00:00+00,89,292,747,575,38,10,139,50,103,17,146,9,110,149,23,946,935,26,9,67,7,83,60,38
250,2020/12/08 15:00:00+00,97,294,754,574,38,10,143,51,105,17,146,13,111,150,23,949,937,26,9,69,7,86,60,38
251,2020/12/09 15:00:00+00,104,295,761,585,39,10,143,52,107,17,147,14,111,155,23,956,942,26,9,69,7,88,61,38
252,2020/12/10 15:00:00+00,109,297,773,590,39,10,145,52,108,17,147,15,112,157,23,958,947,26,10,70,7,90,61,38
253,2020/12/11 15:00:00+00,113,298,778,599,40,10,147,53,111,17,148,15,114,157,23,968,947,26,9,73,7,92,62,39
254,2020/12/12 15:00:00+00,116,297,787,600,41,10,149,54,111,17,151,17,115,157,23,973,958,26,11,75,7,94,64,39
255,2020/12/13 15:00:00+00,117,298,793,603,41,10,149,55,111,17,152,19,115,158,23,978,966,26,12,75,7,95,64,39
256,2020/12/14 15:00:00+00,117,300,795,607,41,10,149,55,112,17,152,20,115,158,23,980,967,26,13,75,7,95,66,39
257,2020/12/15 15:00:00+00,122,305,800,609,41,10,149,57,113,17,155,23,118,160,23,990,972,26,13,76,7,98,69,39
258,2020/12/16 15:00:00+00,126,306,812,613,42,10,149,61,114,17,157,28,122,160,24,995,980,26,14,77,7,103,69,41
259,2020/12/17 15:00:00+00,128,308,821,620,42,10,149,61,114,17,157,30,125,160,24,1009,984,26,15,77,7,108,69,41
260,2020/12/18 15:00:00+00,134,311,825,628,42,10,150,62,115,17,160,30,126,163,24,1012,991,26,15,78,7,110,70,41
261,2020/12/19 15:00:00+00,135,315,832,636,43,10,151,63,116,17,162,31,127,164,24,1014,998,26,15,80,7,113,71,41
262,2020/12/20 15:00:00+00,140,316,838,643,44,10,152,63,116,17,162,34,129,164,24,1015,1009,26,16,81,7,115,71,41
263,2020/12/21 15:00:00+00,142,322,845,647,44,10,153,63,116,17,162,36,130,165,24,1019,1010,26,19,81,7,117,71,42
264,2020/12/22 15:00:00+00,145,324,851,650,44,10,154,63,116,17,163,36,133,167,24,1025,1015,26,19,82,7,123,72,42
265,2020/12/23 15:00:00+00,146,329,860,656,44,10,155,65,116,18,163,37,135,167,24,1032,1019,26,19,82,7,127,73,43
266,2020/12/24 15:00:00+00,150,331,865,667,44,10,157,67,116,18,166,37,138,168,24,1037,1024,26,20,83,7,134,73,43
267,2020/12/25 15:00:00+00,151,334,870,666,44,10,159,68,116,18,167,41,140,170,25,1049,1034,26,20,83,7,134,74,43
268,2020/12/26 15:00:00+00,151,336,876,670,44,10,159,69,116,19,169,42,145,170,25,1050,1036,26,20,83,7,134,75,43
269,2020/12/27 15:00:00+00,151,338,877,672,44,10,161,69,116,19,171,42,146,170,25,1055,1038,26,20,83,7,136,75,44
270,2020/12/28 15:00:00+00,152,339,880,674,44,10,161,69,118,19,174,43,147,170,25,1061,1042,26,20,84,7,136,75,45
271,2020/12/29 15:00:00+00,151,343,887,678,44,10,161,70,119,21,174,44,150,170,25,1068,1045,27,21,84,7,140,76,45
272,2020/12/30 15:00:00+00,153,349,896,680,44,10,160,72,121,21,181,49,154,171,25,1077,1052,27,21,83,8,145,76,45
273,2020/12/31 15:00:00+00,153,352,904,683,44,10,161,72,123,22,186,49,160,174,25,1081,1058,27,22,87,8,147,77,47
274,2021/01/01 15:00:00+00,154,354,913,690,45,10,163,73,123,22,188,52,164,175,25,1086,1062,27,22,89,8,151,78,47
275,2021/01/02 15:00:00+00,155,356,917,695,45,10,163,75,124,23,188,52,165,175,26,1089,1069,27,22,89,8,153,78,48
276,2021/01/03 15:00:00+00,154,356,922,700,45,10,165,75,127,23,190,52,167,175,26,1095,1070,27,22,89,8,154,79,49
277,2021/01/04 15:00:00+00,155,357,925,703,45,10,166,76,128,24,190,52,167,175,26,1097,1073,27,22,89,8,155,80,49
278,2021/01/05 15:00:00+00,156,362,933,704,46,11,169,77,128,24,192,50,169,176,26,1104,1074,27,22,89,9,159,84,49
279,2021/01/06 15:00:00+00,158,365,941,710,46,11,170,77,128,24,194,52,170,176,26,1114,1084,27,22,91,10,161,88,50
280,2021/01/07 15:00:00+00,160,372,952,716,46,11,172,78,128,24,196,52,171,177,26,1119,1090,27,22,92,10,163,88,50
281,2021/01/08 15:00:00+00,161,378,958,723,46,11,172,80,130,24,197,52,173,178,26,1126,1102,28,21,92,10,170,90,52
282,2021/01/09 15:00:00+00,161,383,966,724,46,11,172,80,129,24,201,53,175,178,26,1131,1104,28,22,92,11,170,92,53
283,2021/01/10 15:00:00+00,162,386,967,723,46,11,172,80,130,24,201,54,175,180,28,1137,1110,28,22,92,11,171,93,54
284,2021/01/11 15:00:00+00,162,388,972,725,46,11,173,80,130,24,201,54,175,181,28,1140,1115,28,22,92,11,171,94,56
285,2021/01/12 15:00:00+00,163,390,984,728,46,12,173,81,131,24,204,54,177,182,29,1146,1120,29,23,94,11,173,94,58
286,2021/01/13 15:00:00+00,163,393,996,731,46,13,174,84,131,24,207,56,177,182,29,1160,1124,30,23,94,11,175,96,58
287,2021/01/14 15:00:00+00,164,396,1006,735,46,13,174,84,131,24,209,56,178,182,28,1167,1128,32,23,94,12,177,98,61
288,2021/01/15 15:00:00+00,164,399,1016,739,46,13,175,86,132,24,213,56,180,184,28,1173,1134,32,24,94,14,177,100,63
289,2021/01/16 15:00:00+00,164,402,1024,744,46,13,175,89,132,24,214,56,183,186,28,1177,1135,32,24,95,15,178,101,65
290,2021/01/17 15:00:00+00,164,405,1029,746,46,13,175,89,132,24,215,56,183,187,28,1182,1134,32,24,96,15,178,101,65
291,2021/01/18 15:00:00+00,165,408,1033,755,46,13,175,90,133,25,216,56,183,188,28,1190,1143,32,24,96,16,181,102,65
292,2021/01/19 15:00:00+00,166,410,1037,757,48,13,176,90,135,26,216,56,186,189,28,1196,1152,32,24,96,16,184,103,68
293,2021/01/20 15:00:00+00,168,415,1044,757,50,13,176,92,137,26,218,56,190,190,28,1201,1164,32,25,98,16,190,110,69
294,2021/01/21 15:00:00+00,170,418,1051,760,51,14,179,94,137,27,221,56,190,191,28,1212,1166,32,26,99,16,192,112,69
295,2021/01/22 15:00:00+00,173,424,1060,764,53,14,181,99,139,27,225,56,191,191,28,1220,1169,32,27,99,16,200,113,69
296,2021/01/23 15:00:00+00,174,427,1067,765,54,14,183,101,140,28,226,56,193,192,28,1225,1173,32,27,99,17,203,115,69
297,2021/01/24 15:00:00+00,174,429,1070,772,55,14,183,101,140,28,229,56,193,192,28,1231,1178,32,26,99,17,206,118,72
298,2021/01/25 15:00:00+00,175,433,1074,773,55,14,184,101,140,30,231,56,194,193,28,1235,1179,32,26,99,18,207,121,73
299,2021/01/26 15:00:00+00,175,437,1080,776,56,15,184,105,141,30,232,56,196,195,32,1240,1179,32,26,99,20,214,123,76
300,2021/01/27 15:00:00+00,176,441,1093,779,56,16,186,108,143,31,233,56,199,195,32,1248,1186,32,26,101,20,216,123,76
301,2021/01/28 15:00:00+00,177,444,1098,783,58,16,188,109,143,33,232,56,202,195,34,1250,1191,32,26,102,21,219,125,77
302,2021/01/29 15:00:00+00,179,450,1105,791,60,16,188,109,144,35,235,56,203,198,34,1254,1194,32,26,103,21,219,126,76
303,2021/01/30 15:00:00+00,181,456,1113,795,60,16,189,109,144,35,235,56,203,198,34,1256,1200,33,26,104,21,223,128,77
304,2021/01/31 15:00:00+00,182,457,1116,798,60,16,189,109,144,35,236,56,203,198,34,1260,1203,33,26,104,21,223,128,77
305,2021/02/01 15:00:00+00,183,458,1118,800,60,16,189,109,144,35,237,56,204,199,34,1266,1208,33,26,105,22,224,128,77
306,2021/02/02 15:00:00+00,185,460,1120,801,60,16,189,109,144,36,237,57,205,199,34,1269,1210,33,26,105,23,225,128,77
307,2021/02/03 15:00:00+00,188,467,1125,802,60,17,189,109,144,36,242,57,209,201,35,1276,1215,34,26,107,24,227,130,77
308,2021/02/04 15:00:00+00,189,471,1131,802,60,17,193,110,144,36,243,57,209,202,35,1280,1218,34,26,107,26,228,130,78
309,2021/02/05 15:00:00+00,189,474,1135,806,60,18,195,111,145,36,245,57,209,203,35,1290,1220,34,26,108,26,230,132,80
310,2021/02/06 15:00:00+00,189,475,1144,809,62,18,197,111,145,36,247,57,212,203,35,1294,1225,34,26,108,26,232,134,84
311,2021/02/07 15:00:00+00,189,478,1148,813,62,18,198,111,146,37,247,57,212,204,35,1298,1230,35,26,108,26,233,134,85
312,2021/02/08 15:00:00+00,190,479,1152,816,62,18,198,111,148,37,247,57,212,205,36,1303,1234,35,26,108,26,235,135,85
313,2021/02/09 15:00:00+00,191,482,1160,822,62,18,198,111,148,38,247,57,214,206,36,1307,1236,35,26,108,26,236,135,86
314,2021/02/10 15:00:00+00,192,487,1163,824,62,18,200,111,148,38,248,57,214,206,37,1316,1244,36,26,108,28,237,135,87
315,2021/02/11 15:00:00+00,192,487,1171,827,62,18,201,111,149,39,248,57,217,208,37,1319,1252,36,28,108,29,237,136,86
316,2021/02/12 15:00:00+00,192,488,1181,831,62,18,201,112,149,39,251,57,219,209,37,1324,1255,36,29,109,29,237,136,86
317,2021/02/13 15:00:00+00,193,488,1187,833,62,18,201,112,149,39,252,57,220,210,37,1326,1255,36,29,109,30,237,137,86
318,2021/02/14 15:00:00+00,193,489,1188,834,62,18,201,112,149,39,252,57,222,211,37,1328,1257,36,29,110,30,237,137,86
319,2021/02/15 15:00:00+00,194,494,1195,837,62,18,202,113,150,39,254,57,222,211,37,1337,1262,36,30,111,30,240,139,87
320,2021/02/16 15:00:00+00,195,497,1197,838,62,18,202,113,150,39,254,57,224,210,38,1337,1264,36,30,111,31,242,139,88
321,2021/02/17 15:00:00+00,195,498,1200,836,64,18,203,113,150,40,255,58,225,211,38,1337,1266,37,30,111,31,242,139,89
322,2021/02/18 15:00:00+00,195,504,1209,844,65,18,203,113,151,42,256,58,227,210,39,1348,1275,37,30,112,31,245,140,90
323,2021/02/19 15:00:00+00,195,504,1209,846,65,18,203,114,151,42,256,58,227,210,39,1350,1274,37,30,112,31,244,141,90
324,2021/02/20 15:00:00+00,196,507,1213,846,66,18,203,115,151,42,257,58,227,210,40,1350,1274,37,30,112,31,245,141,90
325,2021/02/21 15:00:00+00,196,507,1214,846,66,18,203,115,151,42,258,58,227,210,40,1351,1276,37,30,112,31,245,141,90
326,2021/02/22 15:00:00+00,196,508,1217,846,66,18,203,115,151,42,258,58,227,210,40,1353,1278,37,30,112,31,245,141,90
327,2021/02/23 15:00:00+00,197,510,1220,848,67,18,205,115,152,42,258,60,229,212,40,1352,1280,37,30,113,32,246,141,90
328,2021/02/24 15:00:00+00,197,513,1226,853,67,18,206,117,152,42,260,60,230,212,40,1354,1285,37,30,113,32,248,141,91
329,2021/02/25 15:00:00+00,197,518,1241,864,68,19,207,117,155,44,263,60,232,213,40,1363,1298,37,31,114,33,249,141,91
330,2021/02/26 15:00:00+00,197,520,1244,865,69,19,207,118,155,44,267,60,232,213,40,1363,1298,37,31,114,34,249,141,91
331,2021/02/27 15:00:00+00,198,522,1248,864,70,19,208,118,155,44,269,60,233,214,40,1365,1299,37,31,114,34,250,141,91
332,2021/02/28 15:00:00+00,198,524,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91
333,2021/03/01 15:00:00+00,198,525,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91
334,2021/03/02 15:00:00+00,198,528,1250,869,70,20,209,118,155,44,272,60,235,214,41,1373,1302,37,31,114,34,251,141,92
335,2021/03/03 15:00:00+00,198,528,1254,873,70,20,209,119,157,44,272,60,235,214,41,1375,1305,37,31,114,34,252,142,92
336,2021/03/04 15:00:00+00,198,529,1256,875,71,20,209,120,157,44,272,60,235,214,41,1376,1307,37,32,114,34,252,143,91
337,2021/03/05 15:00:00+00,199,530,1257,876,71,20,209,121,158,44,272,60,236,215,41,1379,1309,37,32,115,34,254,143,91
338,2021/03/06 15:00:00+00,199,531,1258,878,71,20,209,121,158,44,272,60,236,214,41,1381,1310,37,32,115,34,254,143,91
339,2021/03/07 15:00:00+00,199,531,1259,879,71,20,209,121,158,44,273,60,236,214,41,1381,1312,37,32,115,35,255,143,91
340,2021/03/08 15:00:00+00,199,531,1259,879,71,20,209,121,158,44,274,60,237,214,41,1381,1312,37,32,115,35,255,143,91
341,2021/03/09 15:00:00+00,199,532,1266,879,72,21,210,121,159,44,274,60,240,214,41,1385,1315,37,32,115,35,256,144,91